center_i,center_j,d_ij,F_norm_ij,Cost_ij,is_redundant
3,8,9151.624485544271,0.0090716730455489,0.6212648306523766,False
8,9,12424.888557951384,0.013644354932157,0.7058840319501706,False
1,9,4413.3903806711005,1.0,0.0,False
1,6,5358.9823482041265,0.9316940146852524,0.059258569494274854,False
1,5,4799.195874238893,0.698289154157233,0.1610986036964216,False
1,4,5468.880998909785,0.5032746384381194,0.27638607958999795,False
0,4,5238.626383967117,0.088349579282063,0.47773532233187044,False
1,2,6325.302801258378,0.4459124269285042,0.3278052839136356,False
3,7,12176.778906889214,0.0038432573111066,0.704197240636637,False
6,9,5963.402146964711,0.3831277375589008,0.3495891240894593,True
4,9,5344.188852835123,0.2514160043154296,0.3990048056546758,True
