subcenter_id,connect_to,connect_type,d_connect
0,0,center,3866.903394050934
1,0-4,edge,5110.717814296047
2,0,center,3067.135845816673
3,0,center,4205.166165666117
4,3-7,edge,4730.943223560966
5,3-8,edge,8692.065970906968
6,3-7,edge,4364.584268165417
7,3-8,edge,3958.219783304792
8,3-7,edge,9126.639557754022
9,2,center,4326.843032191341
10,6,center,4268.638228802479
